sample-pruner: freed 0.61 GB, 2410 pruned, 0 checked
sample-pruner: freed 0.74 GB, 2416 pruned, 0 checked
sample-pruner: freed 0.78 GB, 2423 pruned, 0 checked
sample-pruner: freed 0.78 GB, 2432 pruned, 0 checked
sample-pruner: freed 0.42 GB, 2437 pruned, 0 checked
sample-pruner: freed 0.46 GB, 2443 pruned, 0 checked
sample-pruner: freed 0.74 GB, 2452 pruned, 0 checked
sample-pruner: freed 0.84 GB, 2461 pruned, 0 checked
sample-pruner: freed 0.54 GB, 2470 pruned, 0 checked
sample-pruner: freed 0.87 GB, 2479 pruned, 0 checked
sample-pruner: freed 0.88 GB, 2489 pruned, 0 checked
sample-pruner: freed 0.46 GB, 2495 pruned, 0 checked
sample-pruner: freed 0.34 GB, 2498 pruned, 0 checked
sample-pruner: freed 1.09 GB, 2508 pruned, 0 checked
sample-pruner: freed 0.66 GB, 2516 pruned, 0 checked
sample-pruner: freed 0.85 GB, 2524 pruned, 0 checked
sample-pruner: freed 0.58 GB, 2531 pruned, 0 checked
sample-pruner: freed 0.30 GB, 2535 pruned, 0 checked
sample-pruner: freed 0.61 GB, 2543 pruned, 0 checked
sample-pruner: freed 0.27 GB, 2546 pruned, 0 checked
sample-pruner: freed 0.41 GB, 2551 pruned, 0 checked
sample-pruner: freed 0.29 GB, 2553 pruned, 0 checked
sample-pruner: freed 0.29 GB, 2557 pruned, 0 checked
sample-pruner: freed 0.88 GB, 2565 pruned, 0 checked
sample-pruner: freed 0.68 GB, 2571 pruned, 0 checked
sample-pruner: freed 0.37 GB, 2575 pruned, 0 checked
sample-pruner: freed 0.66 GB, 2581 pruned, 0 checked
sample-pruner: freed 0.57 GB, 2588 pruned, 0 checked
sample-pruner: freed 0.64 GB, 2595 pruned, 0 checked
sample-pruner: freed 0.35 GB, 2598 pruned, 0 checked
sample-pruner: freed 0.94 GB, 2608 pruned, 0 checked
sample-pruner: freed 0.34 GB, 2612 pruned, 0 checked
sample-pruner: freed 0.57 GB, 2619 pruned, 0 checked
sample-pruner: freed 0.38 GB, 2623 pruned, 0 checked
sample-pruner: freed 1.24 GB, 2637 pruned, 0 checked
sample-pruner: freed 0.44 GB, 2642 pruned, 0 checked
sample-pruner: freed 0.88 GB, 2652 pruned, 0 checked
sample-pruner: freed 0.72 GB, 2661 pruned, 0 checked
sample-pruner: freed 1.09 GB, 2673 pruned, 0 checked
sample-pruner: freed 0.71 GB, 2682 pruned, 0 checked
sample-pruner: freed 0.68 GB, 2693 pruned, 0 checked
sample-pruner: freed 1.05 GB, 2705 pruned, 0 checked
sample-pruner: freed 0.47 GB, 2712 pruned, 0 checked
sample-pruner: freed 0.70 GB, 2719 pruned, 0 checked
sample-pruner: freed 0.44 GB, 2725 pruned, 0 checked
sample-pruner: freed 0.91 GB, 2737 pruned, 0 checked
sample-pruner: freed 0.69 GB, 2743 pruned, 0 checked
sample-pruner: freed 0.25 GB, 2746 pruned, 0 checked
sample-pruner: freed 0.71 GB, 2754 pruned, 0 checked
sample-pruner: freed 0.02 GB, 2754 pruned, 0 checked
sample-pruner: freed 0.63 GB, 2760 pruned, 0 checked
sample-pruner: freed 1.37 GB, 2773 pruned, 0 checked
sample-pruner: freed 0.79 GB, 2781 pruned, 0 checked
sample-pruner: freed 0.31 GB, 2784 pruned, 0 checked
sample-pruner: freed 0.94 GB, 2797 pruned, 0 checked
sample-pruner: freed 1.31 GB, 2813 pruned, 0 checked
sample-pruner: freed 0.73 GB, 2822 pruned, 0 checked
sample-pruner: freed 0.64 GB, 2830 pruned, 0 checked
sample-pruner: freed 0.26 GB, 2833 pruned, 0 checked
sample-pruner: freed 0.47 GB, 2838 pruned, 0 checked
sample-pruner: freed 0.88 GB, 2849 pruned, 0 checked
sample-pruner: freed 1.08 GB, 2861 pruned, 0 checked
sample-pruner: freed 0.09 GB, 2862 pruned, 0 checked
sample-pruner: freed 0.60 GB, 2868 pruned, 0 checked
sample-pruner: freed 0.76 GB, 2876 pruned, 0 checked
sample-pruner: freed 0.58 GB, 2882 pruned, 0 checked
sample-pruner: freed 0.82 GB, 2892 pruned, 0 checked
sample-pruner: freed 0.51 GB, 2899 pruned, 0 checked
sample-pruner: freed 0.83 GB, 2909 pruned, 0 checked
sample-pruner: freed 0.07 GB, 2910 pruned, 0 checked
sample-pruner: freed 0.78 GB, 2918 pruned, 0 checked
sample-pruner: freed 0.15 GB, 2919 pruned, 0 checked
sample-pruner: freed 0.10 GB, 2920 pruned, 0 checked
sample-pruner: freed 0.48 GB, 2925 pruned, 0 checked
sample-pruner: freed 0.54 GB, 2930 pruned, 0 checked
sample-pruner: freed 0.55 GB, 2936 pruned, 0 checked
sample-pruner: freed 0.59 GB, 2942 pruned, 0 checked
sample-pruner: freed 0.32 GB, 2946 pruned, 0 checked
sample-pruner: freed 0.28 GB, 2949 pruned, 0 checked
sample-pruner: freed 0.08 GB, 2950 pruned, 0 checked
sample-pruner: freed 0.60 GB, 2955 pruned, 0 checked
sample-pruner: freed 0.18 GB, 2958 pruned, 0 checked
sample-pruner: freed 0.27 GB, 2961 pruned, 0 checked
sample-pruner: freed 0.45 GB, 2965 pruned, 0 checked
sample-pruner: freed 0.57 GB, 2973 pruned, 0 checked
sample-pruner: freed 0.40 GB, 2979 pruned, 0 checked
sample-pruner: freed 0.23 GB, 2982 pruned, 0 checked
sample-pruner: freed 0.42 GB, 2986 pruned, 0 checked
sample-pruner: freed 0.27 GB, 2991 pruned, 0 checked
sample-pruner: freed 0.41 GB, 2997 pruned, 0 checked
sample-pruner: freed 0.28 GB, 3000 pruned, 0 checked
sample-pruner: freed 0.55 GB, 3006 pruned, 0 checked
sample-pruner: freed 0.44 GB, 3011 pruned, 0 checked
sample-pruner: freed 0.25 GB, 3014 pruned, 0 checked
sample-pruner: freed 0.23 GB, 3016 pruned, 0 checked
sample-pruner: freed 0.29 GB, 3020 pruned, 0 checked
sample-pruner: freed 0.29 GB, 3023 pruned, 0 checked
sample-pruner: freed 0.52 GB, 3029 pruned, 0 checked
sample-pruner: freed 0.31 GB, 3033 pruned, 0 checked
sample-pruner: freed 0.08 GB, 3034 pruned, 0 checked
sample-pruner: freed 0.37 GB, 3037 pruned, 0 checked
sample-pruner: freed 0.72 GB, 3045 pruned, 0 checked
sample-pruner: freed 0.98 GB, 3055 pruned, 0 checked
sample-pruner: freed 0.75 GB, 3065 pruned, 0 checked
sample-pruner: freed 0.84 GB, 3075 pruned, 0 checked
sample-pruner: freed 0.41 GB, 3081 pruned, 0 checked
